volume_adjust_loop.thisRepN,volume_adjust_loop.thisTrialN,volume_adjust_loop.thisN,volume_adjust_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mem_test_trials.thisRepN,mem_test_trials.thisTrialN,mem_test_trials.thisN,mem_test_trials.thisIndex,thisRow.t,notes,path,resp order,files chosen,Instructions_0.started,welcome_text.started,instructions_0_keypress.started,Instructions_0.stopped,instructions_0_keypress.keys,instructions_0_keypress.rt,instructions_0_keypress.duration,Consent_Form.started,consent_text.started,agree_button.started,disagree_button.started,Consent_Form.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,disagree_button.numClicks,disagree_button.timesOn,disagree_button.timesOff,demographics.started,age_slider.started,Gender.started,Handedness.started,age_text.started,handedness_text.started,gender_text.started,demographics.stopped,age_slider.response,age_slider.rt,Gender.text,Handedness.response,Handedness.rt,instructions_1.started,instructions_text1.started,instructions1_key_resp.started,instr1_cnt_text.started,instructions_1.stopped,instructions1_key_resp.keys,instructions1_key_resp.rt,instructions1_key_resp.duration,instructions_2.started,instructions_text2.started,key_stim_association.started,instr2_cnt_text.started,instructions2_key_resp.started,instructions_2.stopped,instructions2_key_resp.keys,instructions2_key_resp.rt,instructions2_key_resp.duration,instructions_3.started,instructions_text3.started,examplestim_image_2.started,instructions3_key_resp.started,instr3_cnt_text.started,instructions_3.stopped,instructions3_key_resp.keys,instructions3_key_resp.rt,instructions3_key_resp.duration,instructions_4.started,sound_2.started,instructions_text4.started,handplacement_image.started,sound_2.stopped,instructions4_key_resp.started,instr4_cnt_text.started,instructions_4.stopped,instructions4_key_resp.keys,instructions4_key_resp.rt,instructions4_key_resp.duration,instructions_5.started,instructions_text5.started,image.started,instructions5_key_resp.started,instr5_cnt_text.started,instructions_5.stopped,instructions5_key_resp.keys,instructions5_key_resp.rt,instructions5_key_resp.duration,volume_adjuster.started,volume_adjuster_key_resp.started,volume_adjustment_instructions.started,volume_adjuster_sound.started,volume_adjuster.stopped,volume_adjuster_key_resp.keys,volume_adjuster_key_resp.rt,volume_adjuster_key_resp.duration,begin_exp_timer.started,text_countdown_2.started,begin_exp_timer.stopped,stim_display.started,node idx,stim,selected music stim,node type,space.started,h.started,j.started,k.started,l.started,key_resp.started,text.started,accuracy_text.started,stim_display.stopped,accuracy,key_resp.keys,key_resp.rt,key_resp.duration,sound_display.started,sound_1.started,sound_display.stopped,sound_1.stopped,break_2.started,break_text.started,break_key_resp.started,break_2.stopped,break_key_resp.keys,break_key_resp.rt,break_key_resp.duration,memory_test_instructions.started,memory_text_instr.started,memory_test_instr_moveon.started,memory_test_cnt_text.started,memory_test_instructions.stopped,memory_test_instr_moveon.keys,memory_test_instr_moveon.rt,memory_test_instr_moveon.duration,mem_test_cntdn.started,text_countdown.started,mem_test_cntdn.stopped,memory_test.started,mem_space.started,mem_h.started,mem_j.started,mem_k.started,mem_l.started,mem_test_sound.started,mem_test_key_resp.started,mem_test_instr.started,mem_test_sound.stopped,mem test resp,mem test stim,memory_test.stopped,mem_test_key_resp.keys,mem_test_key_resp.rt,mem_test_key_resp.duration,demographics_2.started,music_ability_slider.started,music_theory.started,music_ability_text.started,music_theory_know.started,years_music.started,years_of_musical_experience_slider.started,demographics_2.stopped,music_ability_slider.response,music_ability_slider.rt,music_theory.response,music_theory.rt,years_of_musical_experience_slider.response,years_of_musical_experience_slider.rt,debriefing.started,graph.started,debrief_text.started,debriefing_title.started,demo_scr_adv.started,demo_scr_adv_keypress.started,debriefing.stopped,demo_scr_adv_keypress.keys,demo_scr_adv_keypress.rt,demo_scr_adv_keypress.duration,done.started,text_countdown_3.started,done.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,[7 6 9 ... 3 0 3],"[('k', 'space'), ('h',), ('j',), ('j', 'space'), ('k', 'l'), ('h', 'l'), ('h', 'k'), ('h', 'j'), ('l',), ('l', 'space'), ('k',), ('h', 'space'), ('j', 'l'), ('j', 'k'), ('space',)]","['0503 E.wav' '0502 E.wav' '0504 E.wav' '0501 E.wav' '0505 E.wav'
 '0902 G+.wav' '0905 G+.wav' '0904 G+.wav' '0903 G+.wav' '0901 G+.wav'
 '0105 C.wav' '0102 C.wav' '0104 C.wav' '0103 C.wav' '0101 C.wav']",0.007912565444712527,0.015828149451408535,0.015828149451408535,1809.4354633739422,return,1809.4168086398568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240005,2010-09-20_02h29.21.924,eb_music,2023.2.3,119.98493320680275,2010-09-20 02h29.40.591867 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809.4354920503101,1809.4515967003535,1809.4515967003535,1809.4515967003535,1815.37798868159,1,[5.939608769782353],[5.93961480690632],0,,,1815.3780798422667,1815.4438933214842,1815.4438933214842,1815.4438933214842,1815.4438933214842,1815.4438933214842,1815.4438933214842,1822.5349202736543,18-20,1.9127100317855366,female,Right Handed,7.125082104976173,1822.5349471388909,1822.5446454876073,1824.5365336968534,1824.5365336968534,1829.1041839731188,space,4.5599378417100525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240005,2010-09-20_02h29.21.924,eb_music,2023.2.3,119.98493320680275,2010-09-20 02h29.40.591867 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829.1042081216292,1829.1120262059849,1829.1120262059849,1832.1040170464403,1832.1040170464403,1838.080252484884,space,5.968847801515949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240005,2010-09-20_02h29.21.924,eb_music,2023.2.3,119.98493320680275,2010-09-20 02h29.40.591867 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838.0802787464054,1838.0880008403765,1838.0880008403765,1841.0799814177153,1841.0799814177153,1848.5313562535011,h,7.448351138853468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240005,2010-09-20_02h29.21.924,eb_music,2023.2.3,119.98493320680275,2010-09-20 02h29.40.591867 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848.531385231734,1848.5391139363564,1849.0308343435463,1849.0308343435463,1849.0558347057813,1851.531101184737,1851.531101184737,1853.223484921662,space,1.6774351974308956,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240005,2010-09-20_02h29.21.924,eb_music,2023.2.3,119.98493320680275,2010-09-20 02h29.40.591867 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1853.2235329168616,1853.2312848946167,1853.2312848946167,1856.2232724146597,1856.2232724146597,1858.124000854863,space,1.8964936948177638,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240005,2010-09-20_02h29.21.924,eb_music,2023.2.3,119.98493320680275,2010-09-20 02h29.40.591867 -0400,
0,0,0,0,,,,,,,,,,,,,1858.1901575449738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1858.1261262267508,1858.1901575449738,1858.1901575449738,1858.1818146226506,1865.2998543240392,right,7.10590576280083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240005,2010-09-20_02h29.21.924,eb_music,2023.2.3,119.98493320680275,2010-09-20 02h29.40.591867 -0400,
1,0,1,0,,,,,,,,,,,,,1865.374239925237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865.317511724119,1865.374239925237,1865.374239925237,1865.3742583686762,1866.1582654961094,right,0.7778495860984549,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240005,2010-09-20_02h29.21.924,eb_music,2023.2.3,119.98493320680275,2010-09-20 02h29.40.591867 -0400,
2,0,2,0,,,,,,,,,,,,,1866.2326673975622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866.1767750371946,1866.2326673975622,1866.2326673975622,1866.2326792001477,1868.5502105147607,return,2.3115717911423417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240005,2010-09-20_02h29.21.924,eb_music,2023.2.3,119.98493320680275,2010-09-20 02h29.40.591867 -0400,
,,,,0,0,0,0,0,0,0,0,,,,,1873.5918036290386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1868.566457942943,1868.59129168035,1873.566844621164,1873.5707606060314,7,"('h', 'j')",musical_stimuli/0904 G+.wav,non boundary,1873.5918036290386,1873.5918036290386,1873.5918036290386,1873.5918036290386,1873.5918036290386,1873.5918036290386,1873.5918036290386,1873.5918036290386,1877.1926997807313,0,"['h', 'k']","[3.535770301663433, 3.5758468887070194]","[None, None]",1877.194364217692,1877.2255256529752,1877.7006313631427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240005,2010-09-20_02h29.21.924,eb_music,2023.2.3,119.98493320680275,2010-09-20 02h29.40.591867 -0400,
