volume_adjust_loop.thisRepN,volume_adjust_loop.thisTrialN,volume_adjust_loop.thisN,volume_adjust_loop.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,mem_test_trials.thisRepN,mem_test_trials.thisTrialN,mem_test_trials.thisN,mem_test_trials.thisIndex,thisRow.t,notes,path,resp order,files chosen,Instructions_0.started,welcome_text.started,instructions_0_keypress.started,Instructions_0.stopped,instructions_0_keypress.keys,instructions_0_keypress.rt,instructions_0_keypress.duration,Consent_Form.started,consent_text.started,agree_button.started,disagree_button.started,Consent_Form.stopped,agree_button.numClicks,agree_button.timesOn,agree_button.timesOff,disagree_button.numClicks,disagree_button.timesOn,disagree_button.timesOff,demographics.started,age_slider.started,Gender.started,Handedness.started,age_text.started,handedness_text.started,gender_text.started,demographics.stopped,age_slider.response,age_slider.rt,Gender.text,Handedness.response,Handedness.rt,instructions_1.started,instructions_text1.started,instructions1_key_resp.started,instr1_cnt_text.started,instructions_1.stopped,instructions1_key_resp.keys,instructions1_key_resp.rt,instructions1_key_resp.duration,instructions_2.started,instructions_text2.started,key_stim_association.started,instr2_cnt_text.started,instructions2_key_resp.started,instructions_2.stopped,instructions2_key_resp.keys,instructions2_key_resp.rt,instructions2_key_resp.duration,instructions_3.started,instructions_text3.started,examplestim_image_2.started,instructions3_key_resp.started,instr3_cnt_text.started,instructions_3.stopped,instructions3_key_resp.keys,instructions3_key_resp.rt,instructions3_key_resp.duration,instructions_4.started,sound_2.started,instructions_text4.started,handplacement_image.started,sound_2.stopped,instructions4_key_resp.started,instr4_cnt_text.started,instructions_4.stopped,instructions4_key_resp.keys,instructions4_key_resp.rt,instructions4_key_resp.duration,instructions_5.started,instructions_text5.started,image.started,instructions5_key_resp.started,instr5_cnt_text.started,instructions_5.stopped,instructions5_key_resp.keys,instructions5_key_resp.rt,instructions5_key_resp.duration,volume_adjuster.started,volume_adjuster_key_resp.started,volume_adjustment_instructions.started,volume_adjuster_sound.started,volume_adjuster.stopped,volume_adjuster_key_resp.keys,volume_adjuster_key_resp.rt,volume_adjuster_key_resp.duration,begin_exp_timer.started,text_countdown_2.started,begin_exp_timer.stopped,stim_display.started,node idx,stim,selected music stim,node type,space.started,h.started,j.started,k.started,l.started,key_resp.started,text.started,accuracy_text.started,stim_display.stopped,accuracy,key_resp.keys,key_resp.rt,key_resp.duration,sound_display.started,sound_1.started,sound_display.stopped,sound_1.stopped,break_2.started,break_text.started,break_key_resp.started,break_2.stopped,break_key_resp.keys,break_key_resp.rt,break_key_resp.duration,memory_test_instructions.started,memory_text_instr.started,memory_test_instr_moveon.started,memory_test_cnt_text.started,memory_test_instructions.stopped,memory_test_instr_moveon.keys,memory_test_instr_moveon.rt,memory_test_instr_moveon.duration,mem_test_cntdn.started,text_countdown.started,mem_test_cntdn.stopped,memory_test.started,mem_space.started,mem_h.started,mem_j.started,mem_k.started,mem_l.started,mem_test_sound.started,mem_test_key_resp.started,mem_test_instr.started,mem_test_sound.stopped,mem test resp,mem test stim,memory_test.stopped,mem_test_key_resp.keys,mem_test_key_resp.rt,mem_test_key_resp.duration,text_countdown.stopped,demographics_2.started,music_ability_slider.started,music_theory.started,music_ability_text.started,music_theory_know.started,years_music.started,years_of_musical_experience_slider.started,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,[10  7  5 ...  6 14  0],"[('j', 'l'), ('space',), ('j',), ('l',), ('h', 'j'), ('h',), ('h', 'k'), ('k', 'space'), ('l', 'space'), ('k', 'l'), ('j', 'k'), ('h', 'l'), ('k',), ('j', 'space'), ('h', 'space')]","['0101 C.wav' '0104 C.wav' '0102 C.wav' '0103 C.wav' '0105 C.wav'
 '0501 E.wav' '0505 E.wav' '0502 E.wav' '0503 E.wav' '0504 E.wav'
 '0902 G+.wav' '0904 G+.wav' '0901 G+.wav' '0903 G+.wav' '0905 G+.wav']",0.008089542781817727,0.02406578609952703,0.02406578609952703,64.97042185456667,return,64.94308402952447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240003,2024-03-14_12h29.04.605,eb_music,2023.2.3,60.00208282680888,2024-03-14 12h29.47.219103 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.97045022834209,64.98610560657107,64.98610560657107,64.98610560657107,68.00353555279435,1,[3.030176711239619],[3.030182748218067],0,,,68.0036188630038,68.06922445130476,68.06922445130476,68.06922445130476,68.06922445130476,68.06922445130476,68.06922445130476,80.60931462555891,18-20,2.5958714957960183,female,Right Handed,12.564843571482925,80.60933967899473,80.61868128982314,82.61859496112447,82.61859496112447,101.81784643694118,space,19.1941822302324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240003,2024-03-14_12h29.04.605,eb_music,2023.2.3,60.00208282680888,2024-03-14 12h29.47.219103 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.8178742070013,101.8339911117655,101.8339911117655,104.81710962447687,104.81710962447687,114.55034397158306,space,9.723877945696586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240003,2024-03-14_12h29.04.605,eb_music,2023.2.3,60.00208282680888,2024-03-14 12h29.47.219103 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.55037053427077,114.56648472238157,114.56648472238157,117.54963009961648,117.54963009961648,142.7152834101871,k,25.158854170600534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240003,2024-03-14_12h29.04.605,eb_music,2023.2.3,60.00208282680888,2024-03-14 12h29.47.219103 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.7153120858129,142.73132690537312,143.2145968555269,143.2145968555269,143.2476836892165,145.7144500061695,145.7144500061695,157.04760997778794,space,11.320286732036038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240003,2024-03-14_12h29.04.605,eb_music,2023.2.3,60.00208282680888,2024-03-14 12h29.47.219103 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.04763925709995,157.0637314102787,157.0637314102787,160.04686561910785,160.04686561910785,175.0297112606786,space,14.979210780584253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240003,2024-03-14_12h29.04.605,eb_music,2023.2.3,60.00208282680888,2024-03-14 12h29.47.219103 -0400,
0,0,0,0,,,,,,,,,,,,,175.0959148110851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.03194403485395,175.0959148110851,175.0959148110851,175.09587351818917,191.5787925995246,return,16.47345709327783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240003,2024-03-14_12h29.04.605,eb_music,2023.2.3,60.00208282680888,2024-03-14 12h29.47.219103 -0400,
,,,,0,0,0,0,0,0,0,0,,,,,196.6444996089558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.59549539243744,191.6281421308522,196.61123559012776,196.6152984724322,10,"('j', 'k')",musical_stimuli/0902 G+.wav,boundary,196.6444996089558,196.6444996089558,196.6444996089558,196.6444996089558,196.6444996089558,196.6444996089558,196.6444996089558,196.6444996089558,203.41159804993367,0,"['space', 'h', 'j', 'l']","[1.8839757325768005, 3.1959875867760275, 5.324008223571582, 6.732048987614689]","[None, None, None, None]",203.41328357259044,203.44372246951968,203.92707246993086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240003,2024-03-14_12h29.04.605,eb_music,2023.2.3,60.00208282680888,2024-03-14 12h29.47.219103 -0400,
,,,,0,0,0,0,1,0,1,0,,,,,203.96037301243632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.94587129959837,7,"('k', 'space')",musical_stimuli/0502 E.wav,non boundary,203.96037301243632,203.96037301243632,203.96037301243632,203.96037301243632,203.96037301243632,203.96037301243632,203.96037301243632,203.96037301243632,212.27704329625703,1,"['h', 'k', 'space']","[8.247324489362654, 8.248305497356341, 8.249339932546718]","[None, None, None]",212.27837324124994,212.30984295117958,212.79314888169756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240003,2024-03-14_12h29.04.605,eb_music,2023.2.3,60.00208282680888,2024-03-14 12h29.47.219103 -0400,
,,,,0,0,0,0,2,0,2,0,,,,,212.82646994991228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.8052765552129,5,"('h',)",musical_stimuli/0501 E.wav,boundary,212.82646994991228,212.82646994991228,212.82646994991228,212.82646994991228,212.82646994991228,212.82646994991228,212.82646994991228,212.82646994991228,225.8594737752428,1,['h'],[12.948496175129549],[None],225.86082152929157,225.8922960688127,226.37561558251036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240003,2024-03-14_12h29.04.605,eb_music,2023.2.3,60.00208282680888,2024-03-14 12h29.47.219103 -0400,
,,,,0,0,0,0,3,0,3,0,,,,,226.40892336939578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.39518593723187,6,"('h', 'k')",musical_stimuli/0505 E.wav,non boundary,226.40892336939578,226.40892336939578,226.40892336939578,226.40892336939578,226.40892336939578,226.40892336939578,226.40892336939578,226.40892336939578,230.25925807422027,0,"['k', 'space']","[3.7580924858048093, 3.759061118005775]","[None, None]",230.26062061886478,230.29199494464262,230.77533468219917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240003,2024-03-14_12h29.04.605,eb_music,2023.2.3,60.00208282680888,2024-03-14 12h29.47.219103 -0400,
